"section","item","value"
"overview","rows","113293"
"overview","columns","42"
"overview","unique_federations","206"
"overview","unique_meets","2978"
"missing_core","Sex","0"
"missing_core","Tested","0"
"missing_core","Age","0"
"missing_core","BodyweightKg","0"
"missing_core","TotalKg","0"
"missing_core","Event","0"
"missing_core","Equipment","0"
"missing_core","Place","0"
"sex_count","F","39149"
"sex_count","M","74101"
"sex_count","Mx","43"
"sex_prop","F","0.345555"
"sex_prop","M","0.654065"
"sex_prop","Mx","0.000380"
"tested_count","Blank","15414"
"tested_count","Yes","97879"
"tested_prop","Blank","0.136054"
"tested_prop","Yes","0.863946"
"numeric_summary","Age_mean","28.7052730530576"
"numeric_summary","Age_sd","11.9325475357109"
"numeric_summary","Age_min","3.5"
"numeric_summary","Age_p05","16"
"numeric_summary","Age_median","25"
"numeric_summary","Age_p95","54"
"numeric_summary","Age_max","89"
"numeric_summary","BodyweightKg_mean","83.5766577811517"
"numeric_summary","BodyweightKg_sd","20.8557420986077"
"numeric_summary","BodyweightKg_min","21.15"
"numeric_summary","BodyweightKg_p05","55"
"numeric_summary","BodyweightKg_median","81.45"
"numeric_summary","BodyweightKg_p95","120.6"
"numeric_summary","BodyweightKg_max","230.4"
"numeric_summary","TotalKg_mean","483.143728120887"
"numeric_summary","TotalKg_sd","156.928853295871"
"numeric_summary","TotalKg_min","7"
"numeric_summary","TotalKg_p05","242.5"
"numeric_summary","TotalKg_median","485"
"numeric_summary","TotalKg_p95","740"
"numeric_summary","TotalKg_max","1153.5"
