"item","decision","evidence"
"analysis_scope","Main models use Sex in {F, M} only","Mx has 43 rows out of 113293 in the frozen subset."
"tested_scope","Keep Tested exploratory only","Tested is encoded as Yes or blank and is not central to the project question."
"response_scale","Model TotalKg directly on the original kg scale","TotalKg skew = 0.122 while log(TotalKg) skew = -0.746, so the direct scale is already more symmetric."
"likelihood","Use Student-t likelihood for the main model","Spread rises across bodyweight bins: SD ratio is 1.43 for F and 1.41 for M."
"bodyweight_term","Use a nonlinear bodyweight term","The quadratic upgrade over a linear mean model is very strong (F = 7746.3, p < 2e-16)."
"age_term","Use a nonlinear age term","Peak mean total by age class is F 24-34; M 24-34."
"predictor_standardization","Center and scale BodyweightKg and Age before modeling","Use bw mean/sd = 83.58 / 20.86 and age mean/sd = 28.70 / 11.93."
"baseline_model","TotalKg ~ Sex + bw_z + age_z","Baseline stays simple and interpretable for HMC vs VI comparison."
"main_model","TotalKg ~ Sex + bw_z + bw_z^2 + age_z + age_z^2","Main model adds the nonlinear terms suggested by the EDA without jumping to splines yet."
"intercept_prior","alpha ~ normal(483.2, 117.7)","Keeps prior mass near the observed outcome scale while remaining weakly informative."
"sex_prior","beta_male ~ normal(0, 94.2)","Allows a large male-female shift without forcing it."
"bodyweight_linear_prior","beta_bw ~ normal(0, 54.9)","Allows meaningful bodyweight effects on the standardized scale."
"age_linear_prior","beta_age ~ normal(0, 31.4)","Age effects were visibly weaker than bodyweight effects in the EDA, so the prior is tighter."
"quadratic_prior","beta_quadratic ~ normal(0, 15.7)","Keeps curvature plausible but avoids wild prior mean shapes."
"sigma_prior","sigma ~ exponential(rate = 0.0142)","Prior mean for sigma is about 45% of the observed SD, which keeps the prior predictive spread broad without too much mass below zero."
"nu_prior","nu = 4 + exponential(rate = 0.1667)","Centers the t degrees of freedom in a moderate heavy-tail range."
